"ID","Fecha","Sexo","Edad","Nivel_estudios","Experiencia_inversion","Intencion_ahorro","Pretest","Postest_1","Postest_2","Ansiedad","Bienestar","Intencion_compra","Necesidad_cognicion","Resiliencia","Planificacion","Confortar","Neuroticismo","Nomofobia","SARIMA_serie","ARIMA_serie","ETS_serie","GARCH_serie","VAR_serie_1","VAR_serie_2","VECM_serie_1","VECM_serie_2"
49,2024-04-03,"Hombre","23-27","Bajo","No","Bajo",9,10,12,33.6,69.9,75.7,39,50,19.3,24.2,31.1,51.8,52.9449792782965,105.723525853741,37.1006839397849,-1.03788022501968,49.9921936721447,39.1366366802506,28.6002206539719,20.1045404581346
50,2024-04-05,"Mujer","23-27","Bajo","No","Bajo",7,8,9,19,70,73.3,30.4,50,12.9,23.5,20.1,68.2,53.9180254076648,106.992340594943,39.9560323030527,0.635342428299015,50.4657384903866,39.7312700770137,28.7066095020934,19.6355548153237
51,2024-04-05,"Hombre","23-27","Alto","SI","Alto",8,9,8,25.9,70,54.6,58.8,50,21.6,22.6,24.9,60.6,56.3594931865077,106.66415249548,38.7616446727335,-2.25865488207581,51.3416456752545,39.882177957261,30.8259805043616,20.5716820219623
52,2024-04-06,"Mujer","18-22","Medio","SI","Bajo",9,10,12,23.6,70,85,37.2,50,10,27.9,27.3,64.3,57.2899287708699,106.305809623822,39.3367614603397,0.0490388097825101,49.6882831703642,41.0862592314632,30.3307856908002,21.7649153420685
53,2024-04-07,"Mujer","23-27","Bajo","No","Bajo",8,9,9,24,70,67.3,34.1,50,17.7,24,20.5,64.5,55.40018610731,104.36614643021,38.009958013986,-3.14535054460874,50.7627715586379,39.2276651021303,33.1526729503226,22.5123568585068
54,2024-04-08,"Mujer","28-32","Alto","SI","Alto",5,7,8,42.9,70,82.7,48.5,47.3,19.3,29.9,34.1,61.9,58.0256919441926,102.632008663231,32.8783209838039,-1.47849116579745,52.0953049075121,39.2189001674722,29.7254997391827,20.8661462066932
55,2024-04-09,"Mujer","28-32","Bajo","No","Medio",10,11,12,34.6,70,80.2,25,50,16.9,21.8,20.6,51.8,57.9431595711279,103.325089316307,33.4738740829962,1.43934530274464,49.0390195944361,39.3258238721321,29.46778295258,21.4435331406856
56,2024-04-11,"Mujer","18-22","Medio","No","Bajo",11,11,12,10.2,70,71.1,43.5,50,16.8,18.9,19.2,70,60.5462027959555,103.332198654281,30.8231628907179,0.126990313334506,47.7710965390738,40.0741334145177,30.9321209065302,21.0668911451804
57,2024-04-11,"Hombre","33-37","Bajo","No","Bajo",8,11,10,16.6,70,69.2,36,50,19,15.4,24.5,49.4,60.3392699333721,102.441272482637,28.9120228253197,-1.29461218009367,48.8394448691876,39.9406748887973,31.3242267672736,20.8960930584822
58,2024-04-11,"Hombre","38-42","Medio","SI","Medio",8,9,10,33,70,64,48.2,50,24.1,26.1,35.6,53.1,59.374212081292,103.467164557245,31.4512900098115,-1.60687810096778,49.5963883322653,39.6183351287743,29.9176984839577,20.1535850633678
59,2024-04-12,"Hombre","23-27","Medio","No","Alto",7,8,9,13.6,70,67.4,47.1,50,18.3,18.1,23.6,60.6,59.2373234693956,103.995667713404,29.9996244786876,-1.2530758755396,50.2424218273135,39.8898731975197,30.46114031408,20.6775183215515
60,2024-04-15,"Mujer","18-22","Alto","SI","Medio",10,12,12,10.9,70,67.1,49.7,50,21.7,17.2,26.3,69,61.1308717155733,104.276977652341,34.5196985238155,-0.0465016344632726,48.5036120420513,40.4032669946991,31.3257716854975,20.8678290409734
61,2024-04-17,"Mujer","28-32","Bajo","No","Bajo",7,9,9,24.3,70,59.6,28.5,50,12.5,22.6,24.8,61.4,61.6197457441409,105.137607623772,38.8633906815912,0.0935927634328527,49.8188905707209,40.0624892376278,31.4421127688457,21.0731079121734
62,2024-04-19,"Mujer","23-27","Bajo","No","Medio",7,9,11,19,70,71.8,30.4,50,17.8,12,29.9,57.9,61.9197315208814,106.025114351952,38.7056300534608,-1.96706418786752,49.6083984794589,39.7137495338061,29.5353015797998,20.984947855929
63,2024-04-19,"Hombre","18-22","Alto","No","Medio",9,10,9,32.2,70,63.2,45.8,50,21,28,27.3,65.1,61.654648753866,105.597724841914,36.1853569848898,-0.81732920801755,49.0770449862832,38.4455556557829,29.9260434237748,19.2644444816923
64,2024-04-23,"Hombre","23-27","Bajo","No","Medio",7,9,10,29.9,70,68.4,38.3,44.7,18.7,22.1,44.7,57.6,61.5031146989787,106.89643863241,37.6200788100576,-0.621179689672209,49.3702077160883,39.8206560915809,29.2878672981652,19.6909137602115
65,2024-04-24,"Hombre","38-42","Bajo","No","Bajo",8,9,11,23.4,70,62.3,29,50,19.3,24.4,33.2,54,61.4756686824195,107.328406100528,35.9436537786753,0.399683498104405,49.2877594704974,38.6246537196735,29.6397815096369,20.6956280747245
66,2024-04-24,"Hombre","38-42","Bajo","No","Medio",7,9,9,16.7,70,62.9,41.5,50,17.4,16.5,24.3,49.2,61.2202864509623,104.694225045608,36.4811522052703,1.63239375839982,50.1102639800508,37.9681769694512,31.1433590958761,20.9232934235232
67,2024-04-24,"Mujer","23-27","Medio","SI","Alto",10,10,11,34.3,70,72.3,47.2,50,20.1,20.4,41.1,68.9,62.7321237093413,105.758048306372,35.4818783196944,1.81864757439237,49.4115208371703,38.991273838345,33.0760427821802,22.9852130696327
68,2024-04-26,"Hombre","18-22","Medio","SI","Medio",7,8,11,26.9,70,71,48.9,49.6,19,18.5,34.5,48.2,60.0767896218302,106.788456731916,31.1299102053595,1.86305694228173,50.7792313627866,40.4840968507252,34.1498041677731,24.3915306821726
69,2024-04-29,"Hombre","28-32","Bajo","SI","Medio",9,9,10,40.3,70,68.4,25,40.2,12.5,27.2,45,51.3,59.7168413540248,106.428636978136,33.2058995814969,2.62947531254198,49.6911650490235,40.8607345413099,32.7921183859409,21.9225280360449
70,2024-05-01,"Mujer","23-27","Bajo","No","Bajo",10,11,12,43.9,65.8,78.6,31.7,49.7,13.6,27.3,31.2,46.7,58.7540632790402,105.993696641187,33.9037616610879,-0.563281663392247,48.5635336680077,39.2684067198619,32.8819655052442,22.3693659455438
71,2024-05-05,"Mujer","18-22","Bajo","No","Bajo",10,12,12,23.2,70,67.1,28.4,50,10,21.2,30.5,57.5,57.3339371189606,108.090782962031,33.1907258509439,-2.55233927808581,48.1009462494982,38.6127738193052,36.2403233262754,24.6328363645254
72,2024-05-05,"Hombre","18-22","Medio","No","Medio",10,10,11,19,70,59.7,46.4,47.7,16.7,22.8,30.7,57.5,55.8461985291366,108.840584713916,36.2866054716073,1.11612382780531,47.8304173397169,40.4155638354216,36.025648019619,25.165306207626
73,2024-05-12,"Hombre","33-37","Medio","No","Bajo",10,11,12,26,70,66.5,37.1,48.6,11,24.1,33.4,51.2,54.5109041778387,110.37504702219,38.9211039555108,2.97534200906978,47.1268217102424,40.2743238244964,36.2612431556009,25.4413479195246
74,2024-05-13,"Hombre","38-42","Bajo","SI","Bajo",8,10,11,29,70,59.5,25.7,50,17.4,26.3,32.2,42.9,54.631117558636,108.542725344315,39.9604140823126,-1.76574928784365,48.4070692159284,39.4076569011905,37.7605267473233,26.1078513639899
75,2024-05-16,"Hombre","23-27","Bajo","No","Medio",10,11,12,29,70,68.5,44.1,50,20.9,23.7,18,63.6,54.6379419437534,107.021128101837,41.8167465065371,1.23539782598736,47.4828178459612,40.8263736782613,37.5305805572424,26.432592798958
76,2024-05-20,"Mujer","23-27","Bajo","SI","Bajo",11,12,12,36.4,70,71.7,25.4,47.1,10,24.6,33.2,66,53.1300571564178,106.780131482303,41.3984254457441,0.599613572437651,47.438775563071,39.5910560022443,39.7683348852657,26.6902184450529
77,2024-05-22,"Mujer","28-32","Bajo","No","Bajo",8,9,10,32,69.1,75.8,39.2,48.7,17.5,18.3,33.5,55.7,50.7131738145072,108.47718726141,35.430405616945,1.03162300988574,48.972157520676,38.3907692891218,38.2383647098801,26.2563968123676
78,2024-05-23,"Mujer","23-27","Bajo","SI","Bajo",7,8,11,33.2,70,82.1,29.3,47.6,14.4,24.2,34.2,65.2,52.2332368197811,109.308340416836,34.2430958498785,1.40646702651,49.9395660976295,39.3967752404651,39.0499751686415,28.2336416488293
79,2024-05-26,"Hombre","33-37","Bajo","No","Bajo",8,9,11,36.6,70,72.3,38.7,41.7,11.7,20.6,36.9,43.9,51.773025610591,108.361361490102,34.1455536396662,1.02429525970951,50.0832464487774,37.7335738688647,39.3952130240601,28.421107282775
80,2024-05-28,"Hombre","38-42","Bajo","SI","Bajo",6,8,8,21.9,70,60.4,38.3,50,14,23.5,30.5,39.6,51.4652517241925,108.559482796803,31.4932136707722,-0.886503735195915,50.4630491089635,39.0929291331737,38.7500457257101,25.798664178709
81,2024-06-06,"Mujer","23-27","Bajo","No","Bajo",9,10,10,23.4,70,68.4,38.9,49.3,15.8,21.8,20.1,53.9,49.4708398567976,108.578825676851,30.5032674505197,-1.1358418015882,48.9082427992464,39.8954184319221,38.8599355379736,25.8030971850775
82,2024-06-07,"Hombre","18-22","Bajo","No","Bajo",7,8,10,34,70,61.6,44.7,50,19.3,23.9,34.5,64.1,48.5514761406152,107.608112646233,31.8356256721243,1.15527296793716,50.6432381215325,39.1147345809083,38.9054595216941,27.5148274059227
83,2024-06-08,"Hombre","18-22","Alto","SI","Alto",10,11,12,21,70,66.9,58.3,50,25.9,23,31.7,63.4,48.0992137311212,107.907867718936,33.076687086559,0.812566367573181,48.5025194790537,38.9174406341979,39.249337146381,27.7361197758108
84,2024-06-20,"Mujer","28-32","Alto","No","Alto",7,9,9,34.6,70,69.4,47.5,50,24.5,26.4,27.8,56.6,47.5748951332767,107.404480713604,38.2274330401093,-0.459850259927852,50.2354497590967,38.8188488268128,39.1497339051067,26.0728903965252
85,2024-06-22,"Hombre","23-27","Medio","No","Medio",7,9,10,31.1,70,63.4,39.9,46.7,17.3,27.8,36.4,61.5,45.7130659177146,107.705034277725,39.6947605322504,0.170250014017507,50.0340755686748,40.032142020479,36.4554437567121,24.7235521514585
86,2024-06-24,"Hombre","18-22","Medio","No","Medio",7,10,11,16.8,70,59.7,50.3,48.5,20.4,14.8,33.9,63.4,46.388429938027,104.80984774542,39.4304390535223,-0.145412385873685,50.2822150048455,39.7088070352615,35.889987042628,23.8331858523962
87,2024-06-25,"Hombre","28-32","Bajo","No","Bajo",10,12,12,28.8,70,68.2,32.2,50,10.3,29.9,22.9,61.9,46.5290999260502,106.919111350825,40.1064741245146,-0.347024328897212,48.5254034904763,40.0353247769596,35.7708995002646,23.3515588867523
88,2024-06-26,"Hombre","23-27","Bajo","No","Medio",9,11,11,39.1,70,68.6,27.3,44.1,18.1,21.3,31.7,68,45.6955754440391,109.994695953454,39.041135048819,-0.431433399966683,48.230543728511,38.7055583589478,36.9431637200385,24.4538879076354
89,2024-06-28,"Hombre","18-22","Bajo","No","Bajo",9,9,10,34.1,70,57.1,35.6,43.2,17,16.9,37.5,58.7,45.4891618381636,109.463405745573,39.481793434893,-0.135486643319404,49.2591763542761,38.3900521767315,37.6728074050064,25.5639642310507
90,2024-07-03,"Mujer","18-22","Medio","No","Bajo",8,10,9,37.3,68.8,69.2,49.2,39.1,15.7,32.7,38.8,66.9,46.5127569844924,108.707134885259,40.1919644923156,0.94409764627669,49.2564868469411,40.4201306899649,38.379977235928,24.7388915864946
91,2024-07-05,"Hombre","28-32","Bajo","No","Bajo",9,10,11,29.3,70,58.7,42.8,48.3,16.7,27.8,29.6,69.2,45.4619059516774,108.078241880709,31.7044763567577,-0.462261416780915,48.7864814998614,40.3927166083031,36.6106382644167,24.4791273468851
92,2024-07-10,"Mujer","18-22","Bajo","No","Bajo",6,8,8,44.4,56.8,65.4,35.6,48.6,13.6,30,41.5,70,46.1382452571381,107.113981117166,35.3565933071725,0.203330034186925,50.8939860947532,39.8272060992709,36.9316770252845,24.2319671052334
93,2024-07-13,"Mujer","18-22","Alto","No","Alto",8,9,11,37.8,70,73.2,52.5,47.1,23.2,23.6,32.1,52.8,48.1902331372419,106.901667114871,31.2294724105441,0.256469120307728,50.3371836937574,39.4115994171671,37.1806691553382,25.4881100777093
94,2024-07-14,"Mujer","23-27","Bajo","SI","Medio",9,9,11,25.9,70,69,36.7,50,13.7,20.7,23.4,63.9,47.635230849447,107.540091409268,34.5279782545837,-1.39425635990387,49.6414310256626,40.3495998941672,35.9875846543803,24.4631794391338
95,2024-07-14,"Mujer","23-27","Alto","SI","Alto",9,10,11,25.7,70,70.7,56.1,50,24.9,20.2,28.6,66.7,50.9481109680815,109.743501453441,35.4701283905042,0.220584449213788,49.3357031218659,40.2130295802277,36.4357450636088,24.2580892943655
96,2024-07-14,"Mujer","33-37","Bajo","No","Bajo",8,10,10,29.1,70,72.7,39.5,49,13.7,23.6,34.2,46.3,50.946877356864,109.207968636577,38.2302629086875,1.4627584992564,49.6228983974183,40.3139763232551,37.1453621115205,23.9383509986951
97,2024-07-15,"Mujer","23-27","Bajo","No","Bajo",8,9,10,40,70,70.5,35,50,14.2,26.8,33.1,56.9,50.6338882496552,110.993262205285,41.939324099462,0.14256866467799,49.8731638779223,40.0307919517264,35.6755500715035,23.9648202637029
98,2024-07-16,"Mujer","28-32","Alto","No","Medio",8,8,9,22.8,70,64.5,53.9,50,18.8,17.6,30.2,67.2,52.5228910467427,110.722328774407,44.1737336324165,0.516721769925886,50.7850833271753,41.8720390755364,36.7057049218476,24.6025772286467
99,2024-07-16,"Hombre","28-32","Medio","No","Bajo",9,11,12,19.4,70,61.7,54.7,48.2,19.4,19.7,27.8,46.9,53.731762204338,110.49034115608,42.368827384023,0.0277225323357206,49.3229981468595,43.0514399654648,34.1447449544689,22.3298429195852
100,2024-07-18,"Mujer","38-42","Medio","SI","Bajo",7,8,8,24.6,70,64.5,43.7,46.8,15.9,18.4,40.1,60.6,53.7088318195313,108.876419896295,39.7572920761919,-1.59562166281487,50.6525875564321,42.0308169102299,33.5064552742708,21.4125886259572
101,2024-07-18,"Mujer","23-27","Medio","No","Medio",9,11,11,18.1,70,67.8,42.3,50,18,19.3,26.3,70,55.7713800671994,109.400299443174,38.7882772210568,-0.711475450311975,49.9456152590084,41.0725831501674,34.1936741351633,21.6781287987554
102,2024-07-19,"Mujer","28-32","Medio","No","Medio",9,10,11,28.3,70,63.2,53.6,50,19,24.4,18.6,55.2,55.8051159162402,110.920356691024,38.4008982920728,0.639712525514222,49.3925410706847,40.0924119524866,34.132473316769,21.7679582515107
103,2024-07-19,"Mujer","23-27","Alto","No","Bajo",7,7,8,25.3,70,68.1,53,50,15.6,24.9,34.9,65.9,56.0783524172182,109.869720101409,32.7425289609572,-0.341022593813512,51.0969008278212,39.3771434077224,35.335474959815,23.2280728892029
104,2024-07-21,"Hombre","33-37","Bajo","SI","Bajo",8,9,11,15.8,70,53.6,34.2,50,12,25.3,30.5,56.8,58.1011630786174,110.232087082205,34.2061459976446,0.459800136166114,50.4071246571228,39.8660103580902,35.8087215632781,23.7498876370015
